,Suburb,Latitude,Longitude,SSC_Code
394,"Matraville, Sydney",-33.9639325,151.2334198,SSC12524
395,"Mays Hill, Sydney",-33.8205758,150.9884915,SSC12538
396,"McGraths Hill, Sydney",-33.615,150.8344444,SSC12542
397,"McMahons Point, Sydney",-33.8443387,151.2027957,SSC12547
398,"Meadowbank, Sydney",-33.8174993,151.0884249,SSC12550
399,"Melrose Park, Sydney",-33.8153435,151.0733298,SSC12563
400,"Menai, Sydney",-34.014811,151.0164823,SSC12567
401,"Menangle Park, Sydney",-34.1034092,150.7468493,SSC12569
402,"Merrylands West, Sydney",-33.8359501,150.9681261,SSC12589
403,"Merrylands, Sydney",-33.8350765,150.9860379,SSC12588
404,"Middle Cove, Sydney",-33.7927992,151.2112471,SSC12602
405,"Middle Dural, Sydney",-33.6367412,151.0127369,SSC12603
406,"Middleton Grange, Sydney",-33.9147154,150.8423882,SSC12607
407,"Miller, Sydney",-33.9205556,150.8805556,SSC12617
408,"Millers Point, Sydney",-33.8599129,151.2041274,SSC12619
409,"Milperra, Sydney",-33.9388237,150.9846424,SSC12625
410,"Milsons Passage, Sydney",-33.5157613,151.1768241,SSC12628
411,"Milsons Point, Sydney",-33.8471255,151.2115234,SSC12629
412,"Minchinbury, Sydney",-33.7866731,150.8272222,SSC12633
413,"Minto Heights, Sydney",-34.0379407,150.8715274,SSC12643
414,"Minto, Sydney",-34.0316667,150.8511111,SSC12642
